FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input2.txt,0,30,10,10,350,300,20,1,5.304,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,6.598,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,4.557,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,6.868,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,10.33,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,6.323,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,5.257,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,5.37,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,5.749,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,9.542,884.507,45.2548,55,58,34,19,55,
input2.txt,0,30,10,10,350,300,20,1,6.062,884.507,45.2548,55,58,34,19,55,
input2.txt,1,30,10,10,350,300,20,1,6.097,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,4.752,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,5.811,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,6.623,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.083,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,6.886,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,15.645,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,8.035,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.406,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,5.018,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,6.447,751.314,45.2548,66,69,34,0,96,
input2.txt,2,30,10,10,350,300,20,1,7.614,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,7.643,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,8.072,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,7.586,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,6.99,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.171,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.325,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.577,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.446,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,4.467,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,6.701,480.979,37.2022,21,36,6,8,34,
input2.txt,3,30,10,10,350,300,20,1,6.597,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,7.031,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,5.106,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,7.028,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,9.25,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.605,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.696,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.697,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.095,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.363,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,4.911,474.277,37.2022,87,100,45,18,99,
