FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input2f.txt,0,20,10,10,350,500,20,1,13.348,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.243,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.11,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.847,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.111,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.293,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.315,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.234,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,7.993,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,7.607,924.982,45.2548,136,109,157,95,48,
input2f.txt,0,20,10,10,350,500,20,1,5.447,924.982,45.2548,136,109,157,95,48,
input2f.txt,1,20,10,10,350,500,20,1,4.84,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.328,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.496,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.282,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.396,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.396,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.167,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.251,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.394,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.459,951.789,57.895,29,32,0,0,56,
input2f.txt,1,20,10,10,350,500,20,1,4.545,951.789,57.895,29,32,0,0,56,
input2f.txt,2,20,10,10,350,500,20,1,4.46,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.757,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.886,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.625,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.727,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,5.016,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.766,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,6.522,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,5.199,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,5.56,612.588,30.0666,22,38,3,15,31,
input2f.txt,2,20,10,10,350,500,20,1,4.559,612.588,30.0666,22,38,3,15,31,
input2f.txt,3,20,10,10,350,500,20,1,5.064,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.822,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.949,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,5.357,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,5.236,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.841,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,5.14,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.944,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.839,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,5.325,938.386,43.1741,53,59,3,0,98,
input2f.txt,3,20,10,10,350,500,20,1,4.889,938.386,43.1741,53,59,3,0,98,
