FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input100.txt,0,5,2,350,370,20,20,1,137.11,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,137.427,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,138.428,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,154.007,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,139.992,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,133.997,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,134.772,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,138.141,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,135.591,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,138.052,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,0,5,2,350,370,20,20,1,134.382,1727.23,6.04152,3709,3042,3655,2337,2094,
input100.txt,1,5,2,350,370,20,20,1,30.703,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,32.783,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,32.359,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,38.473,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,34.313,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,32.022,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,33.766,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,32.092,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,35.936,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,31.501,903.363,9,1367,1239,568,0,2295,
input100.txt,1,5,2,350,370,20,20,1,34.616,903.363,9,1367,1239,568,0,2295,
input100.txt,2,5,2,350,370,20,20,1,14.533,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,18.939,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,16.311,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,19.683,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,17.26,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,18.097,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,17.054,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,20.394,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,20.59,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,19.961,675.538,6.09212,335,393,109,314,226,
input100.txt,2,5,2,350,370,20,20,1,20.121,675.538,6.09212,335,393,109,314,226,
input100.txt,3,5,2,350,370,20,20,1,51.502,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,52.184,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,50.379,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,50.763,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,44.685,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,48.069,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,50.397,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,44.807,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,47.133,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,43.38,947.556,9.21954,3636,2895,3413,673,3928,
input100.txt,3,5,2,350,370,20,20,1,49.075,947.556,9.21954,3636,2895,3413,673,3928,
