FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
bugtrap2.txt,0,8,1,180,220,20,20,1,536.593,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,531.044,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,532.544,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,540.895,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,526.464,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,529.14,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,532.636,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,524.246,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,524.477,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,523.139,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,0,8,1,180,220,20,20,1,532.299,1860.14,8.45015,9330,7313,11014,7577,2087,
bugtrap2.txt,1,8,1,180,220,20,20,1,32.104,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,32.079,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,33.361,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,33.162,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,37.309,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,33.301,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,32.589,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,35.005,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,33.362,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,32.966,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,1,8,1,180,220,20,20,1,33.853,1252.03,8.55015,9250,6888,11040,883,8940,
bugtrap2.txt,2,8,1,180,220,20,20,1,40.867,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,33.919,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,33.743,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,34.805,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,34.669,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,35.566,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,34.283,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,35.837,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,39.596,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,34.741,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,2,8,1,180,220,20,20,1,34.42,1303.84,8.49264,6396,7525,3859,6800,1029,
bugtrap2.txt,3,8,1,180,220,20,20,1,27.413,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,21.177,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,23.543,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,24.65,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,19.537,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,20.69,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,18.919,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,18.472,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,18.891,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,21.835,1698.5,8.73606,2446,1689,2678,469,2503,
bugtrap2.txt,3,8,1,180,220,20,20,1,20.628,1698.5,8.73606,2446,1689,2678,469,2503,
