FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input.txt,0,30,10,10,350,300,20,1,27.86,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,11.9,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,12.501,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,6.762,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.847,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.78,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.88,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.731,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.799,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.677,747.705,44.1814,89,78,82,61,47,
input.txt,0,30,10,10,350,300,20,1,4.545,747.705,44.1814,89,78,82,61,47,
input.txt,1,30,10,10,350,300,20,1,4.705,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.515,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.598,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.642,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.882,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.705,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.72,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.601,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.688,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.586,751.314,45.2548,66,69,34,0,96,
input.txt,1,30,10,10,350,300,20,1,4.723,751.314,45.2548,66,69,34,0,96,
input.txt,2,30,10,10,350,300,20,1,4.408,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,4.322,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,4.286,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,7.902,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,3.967,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,5.478,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,5.35,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,16.755,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,4.851,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,5.349,480.979,37.2022,21,36,6,8,34,
input.txt,2,30,10,10,350,300,20,1,4.923,480.979,37.2022,21,36,6,8,34,
input.txt,3,30,10,10,350,300,20,1,5.826,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.988,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,5.155,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.959,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.686,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.699,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.876,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,5.009,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,4.929,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,5.05,474.277,37.2022,87,100,45,18,99,
input.txt,3,30,10,10,350,300,20,1,20.969,474.277,37.2022,87,100,45,18,99,
