FileName,QType,RobotRadius,Epsilon,StartX,StartY,EndX,EndY,PathFound,TimeElapsed,DistanceTraveled,MinimumClearnace,NumExpansions,FreeBoxesCount,StuckBoxCount,MixBelowEpsilonCount,MixAboveEpsilonCount
input2.txt,0,30,10,10,350,300,20,1,8.825,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,7.098,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,8.941,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,7.233,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,5.56,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,7.818,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,5.898,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,5.873,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,5.793,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,5.595,747.705,44.1814,89,78,82,61,47,
input2.txt,0,30,10,10,350,300,20,1,4.985,747.705,44.1814,89,78,82,61,47,
input2.txt,1,30,10,10,350,300,20,1,7.664,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.346,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.975,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,6.881,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.828,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,5.941,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,6.885,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,4.92,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,5.919,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,7.987,751.314,45.2548,66,69,34,0,96,
input2.txt,1,30,10,10,350,300,20,1,16.536,751.314,45.2548,66,69,34,0,96,
input2.txt,2,30,10,10,350,300,20,1,5.629,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,6.092,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,4.924,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,6.573,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,7.79,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,7.091,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,8.067,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.582,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,11.431,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,9.552,480.979,37.2022,21,36,6,8,34,
input2.txt,2,30,10,10,350,300,20,1,5.991,480.979,37.2022,21,36,6,8,34,
input2.txt,3,30,10,10,350,300,20,1,8.5,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,14.904,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,9.158,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.459,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,8.423,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.86,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,5.337,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,4.88,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,5.283,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,6.306,474.277,37.2022,87,100,45,18,99,
input2.txt,3,30,10,10,350,300,20,1,5.865,474.277,37.2022,87,100,45,18,99,
